Date,Affected pages
2026-01-03,113
2026-01-04,113
2026-01-05,113
2026-01-06,113
2026-01-07,113
2026-01-08,113
2026-01-09,113
2026-01-10,113
2026-01-11,110
2026-01-12,110
2026-01-13,110
